id,site_code,X,Y,lon,lat,Aclay_base_altitude,gse,depth_to_base_Aclay,thickness_Aclay
4003,351898N1192361W001,842751.6955,3900584.367,-119.236087,35.189795,260,288.1,28.1,13.48
4004,351399N1192429W002,842341.6171,3895022.996,-119.242888,35.139895,260,312,52,14.96
4007,351787N1192001W001,846078.7121,3899477.411,-119.200088,35.178695,260,292.9,32.9,13.46
4008,351698N1192000W001,846125.6178,3898490.02,-119.199988,35.169795,260,293.2,33.2,13.66
5840,352347N1192413W001,842089.1767,3905549.447,-119.241287,35.234695,269,297.9,28.9,10.95
5842,352117N1191995W001,845993.1593,3903141.917,-119.199488,35.211695,269,297.6,28.6,12.64
5843,352125N1191992W001,846017.0832,3903231.749,-119.199188,35.212495,269,297.7,28.7,12.63
5845,351941N1191927W001,846687.4639,3901212.368,-119.192688,35.194095,263,295.1,32.1,13.15
5857,351450N1191992W001,846303.813,3895740.46,-119.199188,35.144995,259,311.5,52.5,14.18
5858,351456N1191984W001,846374.1927,3895809.838,-119.198388,35.145595,259,310.7,51.7,14.15
6291,352108N1192338W001,842872.8049,3902922.91,-119.233788,35.210795,263,294.1,31.1,12.56
6295,351519N1192366W001,842865.5131,3896376.484,-119.236588,35.151895,260,299.6,39.6,14.54
6297,351658N1192001W001,846133.4875,3898045.744,-119.200088,35.165795,260,292.4,32.4,13.74
6299,351448N1192000W001,846231.735,3895715.475,-119.199988,35.144795,259,311.7,52.7,14.19
6618,352033N1192230W001,843888.188,3902127.941,-119.222988,35.203295,262,295,33,12.79
6619,351520N1192363W001,842892.4376,3896388.617,-119.236288,35.151995,260,299.7,39.7,14.54
7045,352088N1192520W001,841223.477,3902638.183,-119.251987,35.208795,261,292.8,31.8,13.3
7046,351976N1192358W001,842746.2026,3901451.052,-119.235788,35.197595,260,290.6,30.6,13.22
7050,351811N1192358W001,842815.6325,3899619.872,-119.235788,35.181095,260,288.4,28.4,13.67
7051,352014N1192172W001,844424.5605,3901937.199,-119.217188,35.201395,262,295.6,33.6,12.83
7052,352015N1192094W001,845134.6748,3901975.407,-119.209388,35.201495,263,295.2,32.2,12.84
3113,351483N1191280W001,852780.1159,3896357.261,-119.127988,35.148295,261,295.3,34.3,14.61
3124,351519N1190932W001,855936.7033,3896880.978,-119.093188,35.151895,263,287.2,24.2,15.25
3125,351672N1190955W001,855660.3063,3898570.829,-119.095488,35.167195,264,291.9,27.9,15.05
3374,351727N1191874W001,847261.5113,3898855.873,-119.187388,35.172695,260,293.2,33.2,13.63
3376,351719N1191746W001,848431.3699,3898811.939,-119.174588,35.171895,260,293.7,33.7,13.73
3377,351872N1191703W001,848757.7358,3900525.086,-119.170288,35.187195,264,294,30,13.54
3385,351547N1191663W001,849261.4131,3896932.191,-119.166288,35.154695,260,297.3,37.3,14.06
3386,351486N1191815W001,847901.9717,3896201.846,-119.181488,35.148595,259,305.8,46.8,14.05
3387,351483N1191806W001,847985.2909,3896171.704,-119.180588,35.148295,259,306.1,47.1,14.06
3388,351550N1191376W001,851876.1028,3897066.801,-119.137588,35.154995,260,294.6,34.6,14.37
3389,351778N1191412W001,851449.6596,3899584.497,-119.141188,35.177795,262,292.4,30.4,14.04
