Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
40964,352761N1192853W001,837910.5482,3909993.023,-119.285287,35.276095,1004.867,36.52982
40968,353583N1191688W001,848160.0473,3919519.781,-119.168787,35.358295,714.131,6.032083
40988,352650N1192896W001,837565.3432,3908746.49,-119.289587,35.264995,1193.845,31.01884
40992,353033N1192348W001,842391.7348,3913185.229,-119.234787,35.303295,729.875,34.4584
41012,351375N1193223W001,835113.2692,3894485.967,-119.322288,35.137495,690.3849,100.1157
41028,352347N1192413W001,842089.1767,3905549.447,-119.241287,35.234695,1703.396,39.14518
41064,351375N1192351W001,843062.7747,3894783.548,-119.235088,35.137495,2465.632,40.87172
42632,357461N1198046W001,788963.2129,3960497.461,-119.804587,35.746095,822.1823,49.18648
42640,357316N1197866W001,790644.2726,3958941.716,-119.786587,35.731595,1082.122,129.2946
42644,357686N1197265W001,795944.8232,3963227.487,-119.726487,35.768595,1588.898,55.97496
42652,357361N1197591W001,793115.9033,3959522.995,-119.759087,35.736095,1461.121,130.3507
42656,357321N1197439W002,794505.848,3959124.714,-119.743887,35.732095,1583.643,114.5922
42660,357027N1197606W001,793102.6616,3955812.234,-119.760587,35.702695,1240.967,196.5146
42664,357047N1197289W001,795964.4766,3956129.404,-119.728887,35.704695,1602.617,76.14664
42668,357028N1197352W001,795401.2844,3955899.565,-119.735187,35.702795,1525.092,105.8218
42672,357533N1196729W001,800849.9844,3961693.038,-119.672887,35.753295,1357.818,54.81819
42704,357252N1196859W001,799779.5257,3958534.939,-119.685887,35.725195,1381.963,57.04553
42724,356451N1196995W001,798847.9064,3949604.877,-119.699487,35.645095,1229.619,73.67465
42728,357021N1196789W002,800499.7728,3955992.992,-119.678887,35.702095,1378.735,48.96801
42744,356306N1196911W001,799662.9684,3948021.447,-119.691087,35.630595,1186.938,48.89408
42760,357030N1196174W001,806063.0063,3956283.129,-119.617387,35.702995,1489.254,34.88902
42780,356172N1196612W001,802422.2988,3946626.116,-119.661187,35.617195,1480.609,32.82401
42784,356741N1196234W001,805630.305,3953057.355,-119.623387,35.674095,1626.26,38.02777
42796,355872N1196510W001,803459.9428,3943328.503,-119.650987,35.587195,1410.2,69.19009
