id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
1202,370755N1206624W001,707801.6759,4105803.727,-120.662387,37.075495,226.576,57.9931
2531,361169N1192865W001,834267.4022,4003304.16,-119.286488,36.116895,226.655,45.7102
168,377391N1214400W001,637453.1037,4178013.196,-121.439987,37.739095,226.684,135.52
1198,370607N1206404W001,709798.4536,4104209.876,-120.640387,37.060695,226.799,54.2033
3233,357616N1194725W001,818944.825,3963248.512,-119.472487,35.761595,226.863,90.6949
2027,362614N1193857W001,824736.2063,4019004.378,-119.385687,36.261395,226.959,25.2043
880,370074N1205582W001,717260.1393,4098480.306,-120.558187,37.007395,227.301,70
1201,370810N1206724W001,706897.6372,4106392.173,-120.672387,37.080995,227.327,56.9411
1160,370060N1208904W001,687702.1121,4097617.857,-120.890387,37.005995,227.712,17.5333
5312,364064N1195293W001,811250.9942,4034624.142,-119.529287,36.406395,227.747,45.6158
2083,362167N1193707W001,826270.4824,4014093.757,-119.370687,36.216695,227.79,23.8133
4893,350211N1189452W001,870019.5566,3882903.698,-118.945188,35.021095,228.082,10
5356,360981N1193309W001,830347.9519,4001065.566,-119.330887,36.098095,228.303,29.0342
1220,368660N1207279W001,702532.8932,4082416.921,-120.727887,36.865995,228.362,69.4471
2493,361961N1193126W001,831582.8084,4012004.793,-119.312587,36.196095,228.384,41.4114
1197,370543N1206316W001,710598.7039,4103519.198,-120.631587,37.054295,228.476,50.565
2098,369521N1203643W001,734685.5562,4092804.431,-120.364287,36.952095,228.737,80
2335,361597N1193515W001,828235.4246,4007832.4,-119.351487,36.159695,228.74,24.2579
5070,369041N1201657W001,752531.3557,4087985.814,-120.165687,36.904095,228.815,16.2263
1149,371185N1209863W001,678903.9374,4109915.204,-120.986287,37.118495,228.846,10
3023,357325N1192551W001,838733.5096,3960749.183,-119.255088,35.732495,228.852,10
5774,357253N1192412W001,840022.0206,3959998.256,-119.241187,35.725295,228.905,10
1257,369810N1204413W001,727741.9573,4095824.283,-120.441287,36.980995,229.413,54.3544
6370,369574N1208393W001,692371.6977,4092327.491,-120.839287,36.957395,229.451,68.092
5423,369382N1202918W001,741186.1809,4091443.134,-120.291787,36.938195,229.557,31.5297
4363,374993N1211421W001,664230.1336,4151884.385,-121.142087,37.499295,229.709,60.2982
2505,361531N1192962W001,833240.5227,4007288.559,-119.296187,36.153095,229.76,42.8181
7112,370173N1208999W001,686829.0706,4098852.938,-120.899887,37.017295,229.89,10
7113,370173N1208999W002,686829.0706,4098852.938,-120.899887,37.017295,229.89,10
7114,370173N1208999W003,686829.0706,4098852.938,-120.899887,37.017295,229.89,10
190,374996N1211493W001,663592.9773,4151905.128,-121.149287,37.499595,230.123,60
846,371152N1207366W001,701099.7082,4110049.02,-120.736587,37.115195,230.256,53.2734
2602,358447N1192595W001,837859.2439,3973186.593,-119.259488,35.844695,230.506,58.3861
475,373080N1209335W001,683136.5428,4131042.366,-120.933487,37.307995,230.714,60
4920,369618N1208460W001,691764.0671,4092802.179,-120.845987,36.961795,230.771,70
819,371341N1208354W001,692272.5155,4111941.3,-120.835387,37.134095,231.001,107.227
2502,361711N1192998W001,832840.2474,4009273.98,-119.299787,36.171095,231.346,40.8688
820,371310N1208307W001,692697.9145,4111606.869,-120.830687,37.130995,231.356,105.126
489,372532N1208785W001,688147.7263,4125069.846,-120.878487,37.253195,231.408,50
5306,364739N1196227W001,802609.435,4041817.744,-119.622687,36.473895,231.812,20
5746,359603N1192865W001,834931.0876,3985923.512,-119.286488,35.960295,232.092,39.0648
1246,369818N1204554W001,726484.3628,4095879.404,-120.455387,36.981795,232.103,53.4589
2519,361358N1192867W001,834169.1269,4005401.153,-119.286687,36.135795,232.247,42.1716
1378,369093N1202010W001,749368.5504,4088469.911,-120.200987,36.909295,232.366,16.0933
198,374571N1211074W001,667391.8723,4147263.095,-121.107387,37.457095,232.581,85.4681
2970,357894N1194372W001,822025.5262,3966449.332,-119.437187,35.789395,232.65,51.8506
5583,363544N1194577W001,817886.3479,4029086.536,-119.457687,36.354395,232.745,56.2609
1132,350269N1189398W001,870486.3875,3883567.525,-118.939788,35.026895,233.001,10
4478,371582N1208691W001,689218.6389,4114547.583,-120.869087,37.158195,233.138,120
1158,371774N1208788W001,688309.5289,4116658.643,-120.878787,37.177395,233.225,110.513
7071,377031N1214485W001,636770.3142,4174006.289,-121.448487,37.703095,233.254,57.1931
7072,377031N1214485W002,636770.3142,4174006.289,-121.448487,37.703095,233.254,57.1931
7073,377031N1214485W003,636770.3142,4174006.289,-121.448487,37.703095,233.254,57.1931
824,370196N1209007W001,686752.2605,4099106.562,-120.900687,37.019595,233.413,10
1979,364158N1195516W001,809213.1111,4035595.592,-119.551587,36.415795,233.54,42.0418
2334,361675N1193581W001,827608.9016,4008675.763,-119.358087,36.167495,233.609,21.3309
1189,370771N1206810W001,706143.6484,4105940.727,-120.680987,37.077095,233.848,57.5422
881,369996N1205704W001,716196.5664,4097587.012,-120.570387,36.999595,233.924,70
2551,360075N1193042W001,833135.1685,3991101.338,-119.304187,36.007495,233.932,33.6103
5414,369457N1203482W001,736139.1674,4092134.053,-120.348187,36.945695,233.962,80
2822,364889N1196477W001,800310.6846,4043404.121,-119.647687,36.488895,234.365,19.9234
3250,359431N1192815W001,835455.0887,3984031.746,-119.281487,35.943095,234.521,39.2279
3888,357172N1195095W001,815773.6446,3958201.256,-119.509488,35.717195,234.526,65.5639
4934,370327N1206185W001,711823.786,4101151.566,-120.618487,37.032695,234.669,60.6996
4948,369821N1204885W001,723536.876,4095834.431,-120.488487,36.982095,234.994,50
2474,363589N1194777W001,816072.65,4029520.264,-119.477687,36.358895,235.077,56.174
4575,350456N1189003W001,874007.3762,3885790.767,-118.900288,35.045595,235.254,27.9879
1196,370402N1206296W001,710815.5903,4101959.092,-120.629587,37.040195,235.295,56.3078
3536,367091N1206930W001,706064.3007,4065082.728,-120.692987,36.709095,235.378,110.065
1141,350456N1189009W001,873952.6076,3885788.513,-118.900888,35.045595,235.482,25.9889
2026,362761N1194035W001,823075.6247,4020576.24,-119.403487,36.276095,235.859,23.5099
7244,361894N1193666W001,826752.8593,4011077.658,-119.366587,36.189395,235.895,21.7997
4454,372760N1209227W001,684171.7923,4127512.69,-120.922687,37.275995,236.121,60.0127
5729,361892N1193667W001,826744.6949,4011055.123,-119.366687,36.189195,236.132,21.755
1978,364011N1195379W001,810500.5923,4034008.198,-119.537887,36.401095,236.155,47.5304
5377,358742N1192592W001,837760.9507,3976461.738,-119.259187,35.874195,236.173,36.8147
879,369955N1205718W001,716083.5778,4097128.892,-120.571787,36.995495,236.248,70
1225,368510N1207174W001,703508.7815,4080774.923,-120.717387,36.850995,236.355,63.3689
558,370202N1209002W001,686795.2757,4099174.116,-120.900187,37.020195,236.481,10
40,376233N1213247W001,647842.6369,4165339.858,-121.324687,37.623295,236.595,61.5705
